Coursera User IDs,
ni-001,friendsmoneybytes-002
156751,166742
156871,167036
157251,167117
157479,167803
157756,168135
157807,168181
157978,168243
157984,168274
158134,168481
158322,168493
158329,168504
158374,168527
158500,168638
158829,168710
158942,168845
159323,168909
159347,169012
159353,169258
159374,169335
159417,169397
159683,169467
160173,170077
160290,170228
160520,170239
160570,170245
160690,170535
160726,170568
161098,170591
161101,170726
161151,170794
161601,170844
161604,170993
161667,171068
161733,171318
161802,171385
162448,171493
162480,171638
162563,171746
162716,171916
163016,172104
163024,172128
163311,172183
163342,172388
163434,172602
163529,172609
164015,172635
164085,172829
164222,172874
164493,173085
164627,173399
164947,173510
165039,173538
165050,173763
165242,173868
165260,174196
165291,174236
165449,174326
165510,174362
165537,174529
166140,174534
166163,174836
166345,174906
166470,174999
166482,175062
166537,175084
167036,175131
167220,175184
167238,175232
167303,175426
167403,175586
167684,175629
168042,175747
168114,175806
168135,175826
168181,175846
168343,175886
168502,176135
168527,176545
168638,176841
168845,176878
168988,177035
169083,177073
169154,177148
169258,177209
169348,177233
169783,177312
169875,177430
169882,177504
170117,177513
170228,177585
170231,177614
170256,177667
170844,177704
170924,177790
171287,177886
171317,178039
172044,178146
172128,178416
172425,178451
172462,178598
172493,178714
172496,178723
172602,178885
172635,179180
172706,179344
172711,179473
172813,179485
172829,179755
173136,179995
173345,180216
173952,180222
174326,180233
174358,180238
174362,180285
174481,180295
174710,180374
174836,180419
174861,180546
175120,180613
175330,180948
175567,181095
175571,181117
175629,181165
175747,181257
175846,181443
176099,181553
176345,181678
176356,181891
176362,181914
176679,182237
176906,182477
177042,182672
177148,182721
177406,182798
177519,183127
177585,183269
177605,183309
177667,183630
177800,183823
177833,183935
178281,184288
178317,184377
178423,184601
178533,184603
178552,184764
178741,184779
179473,184889
179604,184965
179667,185145
179681,185151
179857,185170
179995,185357
180238,185419
180419,185571
180571,185704
180913,185825
181095,185844
181235,185851
181257,185884
181272,186021
181354,186101
181710,186164
181746,186169
181775,186291
181879,186606
181995,186676
182197,186740
182406,187187
182598,187189
182638,187205
182798,187297
182933,187334
182942,187343
